subject,summary,press,wdate,link
'딥시크'가 SK하이닉스 끌어내렸다…9%대 급락 [핫종목],엔비디아에 고대역폭메모리(HBM)를 공급하는 SK하이닉스(000660)가 딥시크 여파에 급락 중이다. 31일 오전 9시 15분 SK하이.. 뉴스1 | 2025-01-31 09:19:19,뉴스1,2025-01-31 09:19:19,https://n.news.naver.com/mnews/article/421/0008047826
"코스피, 딥시크 충격에 장중 2500선 내줘…SK하이닉스 10%↓",코스피가 장중 2500선을 내줬다. 딥시크 충격에 반도체주가 약세를 보이면서다. 31일 오전 9시9분 현재 코스피는 전장 대비 30.9.. 한국경제 | 2025-01-31 09:16:10,한국경제,2025-01-31 09:16:10,https://n.news.naver.com/mnews/article/015/0005087795
장 열리자 마자 '딥시크 쇼크'…SK하이닉스 개미 '비명',SK하이닉스가 31일 장 초반 10% 넘게 하락하는 등 반도체주가 동반 급락하고 있다. 설 연휴 기간 전해진 중국의 인공지능(AI) 스.. 한국경제 | 2025-01-31 09:14:19,한국경제,2025-01-31 09:14:19,https://n.news.naver.com/mnews/article/015/0005087794
"코스피, 딥시크 충격에 1%대 약세…SK하이닉스 10%↓",코스피가 개인과 외국인의 팔자에 장 초반 1%대 밀리고 있다. 긴 설 연휴(27~30일) 동안 반영하지 못한 중국 AI 딥시크 충격과 .. 이데일리 | 2025-01-31 09:14:17,이데일리,2025-01-31 09:14:17,https://n.news.naver.com/mnews/article/018/0005933720
설 연휴 이슈 일시 반영… 코스피·코스닥 하락 출발,설 연휴 기간 글로벌 증시를 뒤흔든 중국의 오픈소스 인공지능(AI) 딥시크(DeepSeek) 악재와 미국의 기준금리 동결 소식이 반영되.. 조선비즈 | 2025-01-31 09:14:15,조선비즈,2025-01-31 09:14:15,https://n.news.naver.com/mnews/article/366/0001050335
"코스닥, 딥시크 쇼크 여파 하락 출발",설 연휴를 마친 코스닥 지수가 하락 출발했다. 사진=REUTERS 31일 엠피닥터에 따르면 이날 코스닥 지수는 전 거래일 대비 0.42.. 이데일리 | 2025-01-31 09:13:08,이데일리,2025-01-31 09:13:08,https://n.news.naver.com/mnews/article/018/0005933717
코인 스테이킹 수익률이 높은 까닭,지난 한해 동안 솔라나(SOL)를 직접 보유한 것보다 가상자산 거래소의 스테이킹 서비스를 이용했을 때 수익률이 더 높은 것으로 나타났다.. 비즈워치 | 2025-01-31 09:06:08,비즈워치,2025-01-31 09:06:08,https://n.news.naver.com/mnews/article/648/0000032910
"""구형 GPU로 구현한 딥시크 등장…엔비디아에 악재""-iM증권",중국 스타트업이 내놓은 인공지능(AI) 딥시크의 등장으로 AI투자의 효율성 문제가 부각될 경우 AI 반도체 선두업체인 미국 엔비디아에 .. 디지털타임스 | 2025-01-31 09:05:08,디지털타임스,2025-01-31 09:05:08,https://n.news.naver.com/mnews/article/029/0002932293
"키움증권 ""삼성전기, 중국발 AI 수혜 기대…업종 최선호주""","키움증권(039490)은 31일 삼성전기(009150)에 대해 ""연중 인공지능(AI)과 중국발 모멘텀이 지속될 것으로 예상된다""며 비중.. 뉴스1 | 2025-01-31 08:51:42",뉴스1,2025-01-31 08:51:42,https://n.news.naver.com/mnews/article/421/0008047763
"“LG, ‘6조 대어’ LG CNS 상장 영향 크지 않을 것”…목표가↓",하나증권은 31일 LG에 대해 자회사 지분가치가 감소한 데다 ‘몸값 6조원’ 대어 LG CNS 상장에 따른 영향은 크지 않을 것이라며 .. 매일경제 | 2025-01-31 08:43:07,매일경제,2025-01-31 08:43:07,https://n.news.naver.com/mnews/article/009/0005436192
